SUBJECT(1:35); TRIAL(1:89); SETSIZE(0:1000); SERPOS(0:1000); TRTYPE(0:1000); REP(0:1000); ANSAC(0:2); ANSSE(0:1000); ANSRT(0:32767); RECALLAC(0:2); RECALLRT(0:32767); HAND(0:1000)
20 31 2 2 2 1 1 2 1184 1 1489 1
20 32 2 1 2 2 1 2 1407 1 1544 1
20 33 6 6 2 1 1 2 1130 1 3719 1
20 34 2 1 2 1 1 2 1164 1 1090 1
20 35 3 3 1 1 1 1 947 1 2022 1
20 36 6 6 1 2 0 2 1808 0 3502 1
20 37 6 2 2 1 0 1 1585 0 5500 1
20 38 6 3 1 1 1 1 852 0 4093 1
20 39 5 2 2 2 1 2 1053 1 3799 1
20 40 4 2 1 1 1 1 1208 0 2319 1
20 41 4 4 1 2 1 1 1199 1 1704 1
20 42 6 4 2 2 1 2 996 0 4371 1
20 43 6 1 2 1 1 2 1846 0 5844 1
20 44 5 2 1 2 1 1 1044 1 4255 1
20 45 5 3 2 2 1 2 1050 0 4683 1
20 46 4 4 1 1 1 1 888 1 2315 1
20 47 5 2 2 1 1 2 1145 1 3267 1
20 48 6 6 1 1 1 1 977 0 4291 1
20 49 1 1 1 1 1 1 790 1 1174 1
20 50 3 1 2 2 1 2 940 1 1374 1
20 51 4 1 2 2 1 2 930 1 2359 1
20 52 5 4 2 2 1 2 1860 1 3387 1
20 53 4 1 2 1 1 2 1067 1 1830 1
20 54 6 3 2 1 1 2 1400 1 2679 1
20 55 1 1 2 2 1 2 787 1 1264 1
20 56 5 2 1 1 1 1 1098 1 2577 1
20 57 5 3 1 1 1 1 912 1 3313 1
20 58 5 5 2 2 1 2 2536 1 3728 1
20 59 3 3 2 1 1 2 996 1 1332 1
20 60 2 2 1 2 1 1 915 1 1038 1
20 61 6 5 2 1 1 2 1263 1 3379 1
20 62 1 1 2 1 1 2 1112 1 967 1
20 63 5 4 1 1 1 1 918 1 3044 1
20 64 6 1 1 1 1 1 857 0 4778 1
20 65 4 4 2 1 1 2 883 1 2218 1
20 66 6 4 2 1 1 2 1585 1 4263 1
20 67 6 5 2 2 1 2 1529 0 5771 1
20 68 6 2 2 2 1 2 1765 1 4045 1
20 69 5 5 2 1 0 1 1504 1 3089 1
20 70 4 3 1 2 1 1 1360 1 1236 1
20 71 6 5 1 2 1 1 941 1 3221 1
20 72 5 5 1 1 1 1 998 1 4780 1
20 73 3 2 1 2 1 1 1902 1 2721 1
20 74 4 2 2 1 1 2 2011 1 2582 1
20 75 4 2 1 2 1 1 1012 1 2310 1
20 76 6 3 2 2 1 2 896 1 5821 1
20 77 5 1 2 2 1 2 864 1 1900 1
20 78 4 1 1 2 1 1 1204 1 1340 1
20 79 5 3 1 2 1 1 1455 1 2997 1
20 80 6 4 1 2 1 1 1036 1 3340 1
20 81 3 2 1 1 1 1 806 1 1098 1
